IdComplect,NumberCompl,NameCompl
1,1,"средств защиты для ОВБ СПС УВС, обслуживающей ПС 35-110кВ филиала ПАО «Россети Центр» - «Ярэнерго»"
2,2,средств защиты РУ до и выше 1000В и на щитах управления на обслуживаемых (в том числе – на дому) ПС 110/35/10кВ филиала ПАО «Россети Центр» - «Ярэнерго»
3,3,"средств защиты РУ до и выше 1000В на ПС 110/35/10кВ, обслуживаемых ОВБ СПС УВС,  ОВБ ОТГ РЭС филиала ПАО «Россети Центр» - «Ярэнерго»"
4,4,средств защиты для ремонтных бригад службы ПС при обслуживании и ремонте подстанций 35-110кВ филиала ПАО «Россети Центр» - «Ярэнерго»
5,5,"средств защиты бригад по эксплуатации воздушных линий 0,4 – 10кВ филиала ПАО «Россети Центр» - «Ярэнерго»"
6,6,"средств защиты бригад по эксплуатации кабельных линий 0,4 – 10кВ филиала ПАО «Россети Центр» - «Ярэнерго»"
7,7,средств защиты для бригады по эксплуатации ТП и РП района электрических сетей филиала ПАО «Россети Центр» - «Ярэнерго»
8,8,средств защиты для бригады диагностики электрооборудования района электрических сетей филиала ПАО «МРСК Центра» -«Ярэнерго»
9,9,средств защиты для специализированных бригад по технологическому присоединению управления распределительных сетей филиала ПАО «Россети Центр» - «Ярэнерго»
10,10,средств защиты бригады по ремонту ВЛ 35-110кВ филиала ПАО «Россети Центр» - «Ярэнерго»
11,11,"средств защиты ОВБ ОТГ РЭС, обслуживающей распределительные электросети 0,4 – 10кВ и имеющей право оперативных переключений на ПС 35 - 110кВ филиала ПАО «Россети Центр» - «Ярэнерго»"
12,12,"средств защиты ОВБ ОТГ РЭС, обслуживающей распределительные электросети 0,4 – 10кВ филиала ПАО «Россети Центр» - «Ярэнерго»"
13,13,"средств защиты для бригад Ростовского, Ярославского, Рыбинского участков РЗА, Ярославского городского участка РЗА при обслуживании и ремонте оборудования ПС 35-110кВ, РП(ТП) 6(10) кВ филиала ПАО «Россети Центр» - «Ярэнерго»"
14,14,средств защиты участков метрологии и качества электроэнергии отдела МиКЭЭ филиала ПАО «Россети Центр» - «Ярэнерго»
15,15,средств защиты бригад по эксплуатации распределительных сетей филиала ПАО «Россети Центр» - «Ярэнерго»
16,16,средств защиты для бригад по реализации дополнительных сервисов филиала ПАО «Россети Центр» - «Ярэнерго»
17,17,средств защиты для бригад по наружному освещению филиала ПАО «Россети Центр» - «Ярэнерго»
18,18,средств защиты бригад отдела учета электроэнергии и оптимизации потерь филиала ПАО «Россети Центр» - «Ярэнерго»
19,19,средств защиты для группы инспекционного контроля и бригады отдела эксплуатации и развития систем учета управления учета электроэнергии филиала ПАО «Россети Центр» - «Ярэнерго»
20,20,средств защиты группы эксплуатации АСТУ и отдела эксплуатации АСКУЭЭ службы эксплуатации СДТУ и ИТ филиала ПАО «Россети Центр» - «Ярэнерго»
21,21,средств защиты для передвижных высоковольтных лабораторий филиала ПАО «Россети Центр» - «Ярэнерго»
22,22,средств защиты для стационарных электролабораторий испытания средств защиты участков службы диагностики и участка по диагностике РЭС 1 категории «Яргорэлектросеть» филиала ПАО «Россети Центр» - «Ярэнерго»
23,23,средств защиты для стационарных лабораторий химанализа участков службы диагностики и участка по диагностике РЭС 1 категории «Яргорэлектросеть» филиала ПАО «Россети Центр» - «Ярэнерго»
24,24,средств защиты для стационарных лабораторий хроманализа участков службы диагностики филиала ПАО «Россети Центр» - «Ярэнерго»
25,25,средств защиты для стационарной центральной диагностической лаборатории службы диагностики филиала ПАО «Россети Центр» - «Ярэнерго»
26,26,"средств защиты для комплектования грузоподъёмных машин (передвижные грузоподъёмные краны, автогидроподъемники (вышки) при управлении с земли, БКМ) филиала ПАО «Россети Центр» - «Ярэнерго»"
27,27,средств защиты административно-хозяйственного отдела филиала ПАО «Россети Центр» - «Ярэнерго»
28,28,"средств защиты для комплектования временных рабочих мест при выполнении электросварочных работ в помещениях повышенной опасности, особо опасных помещениях и при особо неблагоприятных условиях филиала ПАО «Россети Центр» - «Ярэнерго»"
29,29,средств защиты для участка по ремонту оборудования службы эксплуатации зданий и сооружений управления обеспечения производства филиала ПАО «Россети Центр» - «Ярэнерго»
30,30,средств защиты административно – хозяйственной группы РЭС 1 категории «Яргорэлектросеть»
31,31,"средств защиты ОВБ ОТГ РЭС, обслуживающей распределительные электросети 0,4 – 10кВ и имеющей право оперативных переключений на ПС 35 кВ филиала ПАО «Россети Центр» - «Ярэнерго»"
32,32,средств защиты РУ до и выше 1000В и на щитах управления на обслуживаемых (в том числе – на дому) ПС 110/10кВ филиала ПАО «Россети Центр» - «Ярэнерго»
33,33,средств защиты РУ до и выше 1000В и на щитах управления на обслуживаемых (в том числе – на дому) ПС 35/10кВ филиала ПАО «Россети Центр» - «Ярэнерго»
34,34,"средств защиты РУ до и выше 1000В на ПС 110/10кВ, обслуживаемых ОВБ СПС УВС,  ОВБ ОТГ РЭС филиала ПАО «Россети Центр» - «Ярэнерго»"
35,35,"средств защиты РУ до и выше 1000В на ПС 35/10кВ, обслуживаемых ОВБ СПС УВС,  ОВБ ОТГ РЭС филиала ПАО «Россети Центр» - «Ярэнерго»"
38,36,средств защиты бригады по ремонту ВЛ 35-110кВ филиала ПАО «Россети Центр» - «Ярэнерго» + дополнительные СЗ для мобильной бригады
39,37,средств защиты для бригады по эксплуатации ТП и РП района электрических сетей филиала ПАО «Россети Центр» - «Ярэнерго» + дополнительные СЗ для мобильной бригады
40,38,"средств защиты бригад по эксплуатации воздушных линий 0,4 – 10кВ филиала ПАО «Россети Центр» - «Ярэнерго» + дополнительные СЗ для мобильной бригады"
41,39,"средств защиты для  Ростовского, Ярославского, Рыбинского участков РЗА при обслуживании и ремонте оборудования ПС 35-110кВ, РП(ТП) 6(10) кВ филиала ПАО «Россети Центр» - «Ярэнерго»"
42,40,"средств защиты для Ярославского городского участка РЗА при обслуживании и ремонте оборудования ПС 35-110кВ, РП(ТП) 6(10) кВ филиала ПАО «Россети Центр» - «Ярэнерго»"
43,42,средств защиты бригад отдела учета электроэнергии и оптимизации потерь с оперативными правами филиала ПАО «Россети Центр» - «Ярэнерго»
44,41,Пробный
45,43,средств защиты для стационарных электролабораторий испытания средств защиты участков службы диагностики филиала ПАО «Россети Центр» - «Ярэнерго»
46,44,средств защиты для подменного фонда филиала ПАО «Россети Центр» - «Ярэнерго»
47,45,средств защиты для передвижных высоковольтных лабораторий подразделений РЭС филиала ПАО «Россети Центр» - «Ярэнерго»
48,46,средств защиты участка службы эксплуатации зданий и сооружений управления обеспечения производства филиала ПАО «Россети Центр» - «Ярэнерго»
