IdMaterNorm,IdCompl_id,IdMaterialGr_id,KolMater,IdPravilo,IdNapr
23,1,75,1,4,1
24,1,78,1,4,2
25,1,77,1,4,3
26,1,76,1,4,4
27,1,66,2,NULL,NULL
28,1,69,2,3,2
29,1,68,2,3,3
30,1,67,2,3,4
31,1,8,1,NULL,NULL
32,1,39,2,NULL,NULL
33,1,1,2,NULL,NULL
34,1,10,2,NULL,NULL
35,1,23,1,NULL,NULL
37,1,35,2,NULL,NULL
38,1,34,2,NULL,NULL
39,1,33,2,NULL,NULL
40,1,31,1,NULL,NULL
41,1,3,1,NULL,NULL
42,1,48,10,NULL,NULL
43,1,47,2,NULL,NULL
44,1,51,2,NULL,NULL
45,1,50,2,NULL,NULL
46,1,42,2,NULL,NULL
47,1,45,10,NULL,NULL
48,1,49,2,NULL,NULL
49,1,44,1,NULL,NULL
50,1,92,2,NULL,NULL
841,1,94,1,NULL,NULL
843,1,96,1,NULL,NULL
972,1,32,2,NULL,NULL
51,2,78,2,4,2
52,2,77,2,4,3
53,2,76,2,4,4
54,2,69,2,3,2
55,2,68,2,3,3
56,2,67,2,3,4
57,2,8,1,NULL,NULL
58,2,39,2,NULL,NULL
59,2,1,2,NULL,NULL
60,2,10,2,NULL,NULL
61,2,4,2,NULL,NULL
62,2,23,1,NULL,NULL
63,2,35,2,NULL,NULL
64,2,34,2,NULL,NULL
68,2,33,2,NULL,NULL
69,2,55,2,NULL,NULL
70,2,48,20,NULL,NULL
71,2,47,4,NULL,NULL
72,2,51,10,NULL,NULL
73,2,50,6,NULL,NULL
74,2,42,4,NULL,NULL
75,2,45,8,NULL,NULL
76,2,49,4,NULL,NULL
77,2,44,2,NULL,NULL
936,2,66,2,NULL,NULL
66,3,78,1,4,2
67,3,77,1,4,3
78,3,76,1,4,4
79,3,69,1,3,2
80,3,68,1,3,3
81,3,67,1,3,4
82,3,8,1,NULL,NULL
83,3,55,2,NULL,NULL
87,3,4,2,NULL,NULL
88,3,39,1,NULL,NULL
89,3,1,1,NULL,NULL
90,3,10,2,NULL,NULL
91,3,48,20,NULL,NULL
92,3,47,4,NULL,NULL
93,3,51,10,NULL,NULL
94,3,50,6,NULL,NULL
95,3,42,4,NULL,NULL
96,3,45,8,NULL,NULL
97,3,49,4,NULL,NULL
98,3,44,2,NULL,NULL
99,3,23,1,NULL,NULL
940,3,66,1,NULL,NULL
84,4,66,2,NULL,NULL
100,4,75,1,4,1
101,4,78,1,4,2
102,4,77,1,4,3
103,4,76,1,4,4
104,4,69,1,3,2
105,4,68,1,3,3
106,4,67,1,3,4
109,4,39,2,NULL,NULL
110,4,1,2,NULL,NULL
111,4,10,2,NULL,NULL
112,4,5,2,NULL,NULL
113,4,53,2,8,6
114,4,62,2,8,6
115,4,64,2,8,6
117,4,92,4,NULL,NULL
846,4,94,2,NULL,NULL
848,4,96,2,NULL,NULL
933,4,35,2,NULL,NULL
934,4,34,2,NULL,NULL
935,4,33,2,NULL,NULL
1077,4,32,2,NULL,NULL
1105,4,104,1,NULL,NULL
1123,4,107,2,NULL,NULL
1124,4,108,1,NULL,NULL
118,5,78,1,4,2
119,5,66,2,NULL,NULL
120,5,69,2,3,2
121,5,71,1,NULL,NULL
122,5,73,1,NULL,NULL
123,5,27,2,NULL,NULL
124,5,30,2,NULL,NULL
125,5,32,2,NULL,NULL
126,5,35,2,NULL,NULL
127,5,13,2,NULL,NULL
128,5,14,2,NULL,NULL
129,5,54,1,NULL,NULL
130,5,39,2,NULL,NULL
131,5,1,2,NULL,NULL
132,5,60,1,2,NULL
133,5,53,2,8,6
134,5,62,4,8,6
136,5,64,2,8,6
137,5,48,3,NULL,NULL
138,5,47,3,NULL,NULL
139,5,51,3,NULL,NULL
140,5,50,2,NULL,NULL
141,5,42,2,NULL,NULL
142,5,45,3,NULL,NULL
143,5,49,2,NULL,NULL
144,5,44,1,NULL,NULL
145,5,43,2,NULL,NULL
146,5,23,1,NULL,NULL
148,5,61,5,NULL,NULL
149,5,92,4,NULL,NULL
851,5,94,2,NULL,NULL
853,5,96,2,NULL,NULL
1064,5,72,2,8,6
1086,5,36,2,NULL,NULL
1137,5,110,1,NULL,NULL
1138,5,83,1,NULL,NULL
150,6,78,1,4,2
151,6,66,2,NULL,NULL
152,6,69,2,3,2
153,6,71,1,NULL,NULL
154,6,73,1,NULL,NULL
155,6,27,2,NULL,NULL
156,6,30,2,NULL,NULL
157,6,32,2,NULL,NULL
158,6,35,2,NULL,NULL
159,6,39,2,NULL,NULL
160,6,1,2,NULL,NULL
161,6,10,2,NULL,NULL
162,6,48,3,NULL,NULL
163,6,47,3,NULL,NULL
164,6,51,3,NULL,NULL
165,6,50,2,NULL,NULL
166,6,42,2,NULL,NULL
167,6,45,3,NULL,NULL
168,6,49,2,NULL,NULL
169,6,44,1,NULL,NULL
170,6,43,2,NULL,NULL
171,6,23,1,NULL,NULL
173,6,92,4,NULL,NULL
861,6,94,2,NULL,NULL
863,6,96,2,NULL,NULL
174,7,78,1,4,2
175,7,66,2,NULL,NULL
176,7,69,2,3,2
179,7,71,1,NULL,NULL
180,7,73,1,NULL,NULL
181,7,39,2,NULL,NULL
182,7,1,2,NULL,NULL
183,7,10,2,NULL,NULL
184,7,4,2,NULL,NULL
185,7,9,1,NULL,NULL
186,7,53,2,8,6
187,7,62,4,8,6
189,7,27,2,NULL,NULL
190,7,30,2,NULL,NULL
193,7,32,2,NULL,NULL
194,7,35,2,NULL,NULL
197,7,13,2,NULL,NULL
198,7,14,2,NULL,NULL
199,7,54,2,NULL,NULL
200,7,60,1,2,NULL
201,7,48,2,NULL,NULL
202,7,47,2,NULL,NULL
203,7,51,2,NULL,NULL
204,7,50,1,NULL,NULL
205,7,42,1,NULL,NULL
206,7,45,2,NULL,NULL
207,7,49,1,NULL,NULL
208,7,46,4,NULL,NULL
209,7,43,1,NULL,NULL
210,7,23,1,NULL,NULL
211,7,92,4,NULL,NULL
856,7,94,2,NULL,NULL
858,7,96,2,NULL,NULL
1081,7,104,1,NULL,NULL
1083,7,36,2,NULL,NULL
1101,7,83,1,NULL,NULL
1122,7,110,1,NULL,NULL
212,8,78,1,4,2
213,8,66,2,NULL,NULL
214,8,69,2,3,2
215,8,71,1,NULL,NULL
216,8,73,1,NULL,NULL
217,8,39,2,NULL,NULL
218,8,1,2,NULL,NULL
219,8,10,2,NULL,NULL
220,8,9,1,NULL,NULL
222,8,27,2,NULL,NULL
223,8,30,2,NULL,NULL
224,8,32,2,NULL,NULL
225,8,35,2,NULL,NULL
226,8,37,1,NULL,NULL
227,8,23,1,NULL,NULL
228,8,79,1,NULL,NULL
229,8,48,2,NULL,NULL
230,8,47,2,NULL,NULL
231,8,51,2,NULL,NULL
232,8,50,1,NULL,NULL
233,8,42,1,NULL,NULL
234,8,45,2,NULL,NULL
235,8,49,1,NULL,NULL
236,8,46,4,NULL,NULL
237,8,43,1,NULL,NULL
238,8,60,1,2,NULL
239,8,53,2,8,6
240,8,62,4,8,6
241,8,54,2,NULL,NULL
242,8,13,2,NULL,NULL
243,8,14,2,NULL,NULL
244,8,57,1,2,NULL
1082,8,104,1,NULL,NULL
1087,8,92,4,NULL,NULL
1088,8,94,2,NULL,NULL
1089,8,96,2,NULL,NULL
1104,8,36,2,NULL,NULL
1136,8,111,2,NULL,NULL
245,9,78,1,4,2
246,9,66,2,NULL,NULL
247,9,69,2,3,2
248,9,71,1,NULL,NULL
249,9,73,1,NULL,NULL
250,9,27,2,NULL,NULL
251,9,30,2,NULL,NULL
252,9,32,2,NULL,NULL
253,9,35,2,NULL,NULL
254,9,54,2,NULL,NULL
255,9,13,2,NULL,NULL
256,9,14,2,NULL,NULL
257,9,39,2,NULL,NULL
258,9,1,2,NULL,NULL
259,9,10,2,NULL,NULL
260,9,60,1,2,NULL
261,9,53,2,8,6
262,9,62,4,8,6
263,9,64,2,8,6
264,9,7,2,8,6
265,9,48,3,NULL,NULL
266,9,47,3,NULL,NULL
267,9,51,3,NULL,NULL
268,9,50,2,NULL,NULL
269,9,42,2,NULL,NULL
270,9,45,3,NULL,NULL
271,9,47,2,NULL,NULL
272,9,44,1,NULL,NULL
273,9,43,2,NULL,NULL
274,9,23,1,NULL,NULL
279,9,61,10,NULL,NULL
276,10,77,1,4,3
277,10,76,1,4,4
278,10,68,1,3,3
280,10,67,1,3,4
281,10,73,1,NULL,NULL
282,10,39,2,NULL,NULL
283,10,1,2,NULL,NULL
284,10,53,2,8,6
285,10,62,2,8,6
286,10,63,2,8,6
287,10,110,1,NULL,NULL
288,10,29,2,NULL,NULL
289,10,28,2,NULL,NULL
290,10,23,1,NULL,NULL
291,10,61,2,NULL,NULL
292,10,92,4,NULL,NULL
866,10,94,2,NULL,NULL
868,10,96,2,NULL,NULL
293,11,75,1,4,1
294,11,78,1,4,2
295,11,77,1,4,3
296,11,76,1,4,4
297,11,66,2,NULL,NULL
302,11,69,2,3,2
303,11,68,2,3,3
304,11,67,2,3,4
305,11,71,1,NULL,NULL
306,11,73,1,NULL,NULL
307,11,8,1,NULL,NULL
308,11,9,1,NULL,NULL
309,11,27,2,NULL,NULL
310,11,30,2,NULL,NULL
311,11,29,2,NULL,NULL
312,11,28,2,NULL,NULL
313,11,32,2,NULL,NULL
314,11,35,2,NULL,NULL
315,11,34,2,NULL,NULL
319,11,33,2,NULL,NULL
320,11,36,2,NULL,NULL
321,11,13,2,NULL,NULL
322,11,14,2,NULL,NULL
323,11,54,2,NULL,NULL
324,11,39,2,NULL,NULL
325,11,1,2,NULL,NULL
326,11,10,2,NULL,NULL
327,11,60,1,2,NULL
328,11,53,2,8,6
329,11,48,10,NULL,NULL
330,11,47,3,NULL,NULL
331,11,51,3,NULL,NULL
332,11,50,2,NULL,NULL
336,11,42,2,NULL,NULL
337,11,45,10,NULL,NULL
338,11,49,2,NULL,NULL
339,11,44,1,NULL,NULL
340,11,43,2,NULL,NULL
341,11,23,1,NULL,NULL
342,11,61,10,NULL,NULL
343,11,92,2,NULL,NULL
871,11,94,1,NULL,NULL
873,11,96,1,NULL,NULL
1096,11,83,1,NULL,NULL
1116,11,110,1,NULL,NULL
1134,11,111,2,NULL,NULL
298,12,69,2,3,2
299,12,71,1,NULL,NULL
300,12,73,1,NULL,NULL
301,12,8,1,NULL,NULL
316,12,75,1,4,1
317,12,78,1,4,2
318,12,66,2,NULL,NULL
333,12,9,1,NULL,NULL
334,12,27,2,NULL,NULL
335,12,30,2,NULL,NULL
344,12,36,2,NULL,NULL
345,12,13,2,NULL,NULL
346,12,14,2,NULL,NULL
347,12,54,2,NULL,NULL
348,12,39,2,NULL,NULL
349,12,1,2,NULL,NULL
350,12,10,2,NULL,NULL
351,12,60,1,2,NULL
352,12,53,2,8,6
353,12,62,4,8,6
355,12,64,2,8,6
356,12,48,3,NULL,NULL
357,12,47,3,NULL,NULL
358,12,51,3,NULL,NULL
359,12,50,2,NULL,NULL
360,12,42,2,NULL,NULL
361,12,45,3,NULL,NULL
362,12,49,2,NULL,NULL
363,12,44,1,NULL,NULL
364,12,43,2,NULL,NULL
365,12,23,1,NULL,NULL
366,12,61,10,NULL,NULL
367,12,92,2,NULL,NULL
876,12,94,1,NULL,NULL
878,12,96,1,NULL,NULL
1065,12,72,2,8,6
1095,12,83,1,NULL,NULL
1107,12,104,1,NULL,NULL
1108,12,32,2,NULL,NULL
1109,12,35,2,NULL,NULL
1117,12,110,1,NULL,NULL
368,13,92,1,2,NULL
376,13,23,1,NULL,NULL
377,13,48,4,NULL,NULL
378,13,51,8,NULL,NULL
379,13,50,8,NULL,NULL
880,13,96,1,2,NULL
881,13,94,1,2,NULL
371,14,92,2,2,NULL
372,14,1,1,NULL,NULL
373,14,39,2,NULL,NULL
374,14,10,2,NULL,NULL
882,14,94,1,2,NULL
883,14,96,1,2,NULL
382,15,78,1,4,2
383,15,66,2,NULL,NULL
384,15,69,2,3,2
385,15,71,1,NULL,NULL
386,15,73,1,NULL,NULL
387,15,27,2,NULL,NULL
388,15,30,2,NULL,NULL
389,15,32,2,NULL,NULL
390,15,35,2,NULL,NULL
391,15,36,2,NULL,NULL
392,15,13,2,NULL,NULL
393,15,14,2,NULL,NULL
394,15,54,2,NULL,NULL
395,15,39,2,NULL,NULL
396,15,1,2,NULL,NULL
397,15,10,1,NULL,NULL
398,15,60,1,2,NULL
399,15,53,2,8,6
400,15,62,4,8,6
402,15,64,2,8,6
403,15,48,3,NULL,NULL
404,15,47,3,NULL,NULL
405,15,51,3,NULL,NULL
406,15,50,2,NULL,NULL
407,15,42,2,NULL,NULL
408,15,45,3,NULL,NULL
409,15,49,2,NULL,NULL
410,15,44,1,NULL,NULL
411,15,43,2,NULL,NULL
412,15,23,1,NULL,NULL
414,15,61,5,NULL,NULL
415,15,92,4,NULL,NULL
884,15,94,2,NULL,NULL
885,15,96,2,NULL,NULL
1066,15,72,2,8,6
1093,15,83,1,NULL,NULL
1106,15,104,1,NULL,NULL
1118,15,110,1,NULL,NULL
1135,15,111,2,NULL,NULL
416,16,78,1,4,2
417,16,66,2,NULL,NULL
418,16,69,2,3,2
419,16,71,1,NULL,NULL
420,16,73,1,NULL,NULL
421,16,27,2,NULL,NULL
422,16,30,2,NULL,NULL
423,16,32,2,NULL,NULL
424,16,35,2,NULL,NULL
425,16,13,2,NULL,NULL
426,16,14,2,NULL,NULL
427,16,54,2,NULL,NULL
428,16,39,2,NULL,NULL
429,16,1,2,NULL,NULL
430,16,10,2,NULL,NULL
431,16,60,1,2,NULL
432,16,53,2,8,6
433,16,62,4,8,6
435,16,64,2,8,6
436,16,48,3,NULL,NULL
437,16,47,3,NULL,NULL
438,16,51,3,NULL,NULL
439,16,50,2,NULL,NULL
440,16,42,2,NULL,NULL
441,16,45,3,NULL,NULL
442,16,49,2,NULL,NULL
443,16,44,1,NULL,NULL
444,16,43,2,NULL,NULL
445,16,23,1,NULL,NULL
446,16,61,5,NULL,NULL
1067,16,72,2,8,6
1084,16,36,2,NULL,NULL
1099,16,83,1,NULL,NULL
1120,16,110,1,NULL,NULL
1133,16,104,1,NULL,NULL
447,17,78,1,4,2
448,17,66,2,NULL,NULL
449,17,69,2,3,2
451,17,73,1,NULL,NULL
452,17,27,2,NULL,NULL
453,17,30,2,NULL,NULL
454,17,32,2,NULL,NULL
455,17,35,2,NULL,NULL
459,17,39,2,NULL,NULL
460,17,1,2,NULL,NULL
461,17,10,2,NULL,NULL
462,17,60,1,2,NULL
463,17,53,2,8,6
464,17,62,4,8,6
466,17,64,2,8,6
468,17,48,3,NULL,NULL
469,17,47,3,NULL,NULL
470,17,51,3,NULL,NULL
471,17,50,2,NULL,NULL
472,17,42,2,NULL,NULL
473,17,45,3,NULL,NULL
474,17,49,2,NULL,NULL
475,17,44,1,NULL,NULL
476,17,43,2,NULL,NULL
477,17,23,1,NULL,NULL
1068,17,72,2,8,6
1110,17,92,2,NULL,NULL
