IdMaterial,NameMaterSap,IdMaterialGr_id,SrokSlGod,PlanIspMes,NomSap,NameMaterUn,PriznUn,PriznIsp,PriznKol
1,Боты диэлектрические формовые р43,1,3,36,2278079,None,0,1,0
2,Боты диэлектрические формовые р45,1,3,36,2278080,None,0,1,0
3,Боты диэлектрические формовые р46,1,3,36,2278085,None,0,1,0
4,Боты диэлектрические формовые р47,1,3,36,2348424,None,0,1,0
5,Газоанализатор Автотест-01.02м,2,None,None,2223981,None,0,0,0
6,Газоанализатор ОКА-Т,2,None,None,2265261,None,0,0,0
7,Газоанализатор ФП-33,2,None,None,2295393,None,0,0,0
8,Газоанализатор СИГМА-03,2,None,None,2296581,None,0,0,0
9,Заземление пожарных стволов L=20 S=16,3,8,None,2277678,None,0,0,0
10,Накладка электроизолирующая 275х360,5,5,24,2370315,None,0,1,0
11,Отвертка диэлектрическая,92,3,12,None,None,0,1,0
17,Отвертка диэлектрическая с многослойной изоляцией,92,3,12,None,None,0,1,0
22,Пассатижи диэлектрические,94,3,12,None,None,0,1,0
23,Пассатижи диэлектрические с многослойной изоляцией,94,3,12,None,None,0,1,0
30,Бокорезы диэлектрические,96,3,12,None,None,0,1,0
31,Бокорезы диэлектрические с многослойной изоляцией,96,3,12,None,None,0,1,0
32,Заземление ЗПЛ-10-1-25,30,8,None,2025678,None,0,0,0
33,Заземление переносное ЗПЛ-1-16,27,8,None,2025696,None,0,0,0
37,Заземление ЗПЛ-15м(0.00),30,8,None,2007070,None,0,0,0
38,Соединительный элемент. Карабин класса В,7,2,None,2361224,None,0,0,0
39,Клещи изолирующие до 1000В,8,5,24,2278103,None,0,1,0
40,Клещи электроизмерительные до 1000В,9,5,24,2278143,None,0,1,0
41,Ковер диэлектрический 500х500мм,10,5,None,2277721,None,0,0,0
42,Ковер диэлектрический 750х750мм,10,5,None,2277722,None,0,0,0
43,Перчатки (рукав) кожаные защитные,11,None,None,2371572,None,0,0,1
44,"КШЗ для ВЛ-0,4кВ S=16",13,8,12,2278169,None,0,1,0
45,"КШЗ для ВЛ-0,4кВ S=25",13,8,12,2278150,None,0,1,0
46,"УН (рабочая часть) для КШЗ 0,4кВ",13,5,12,2372246,None,0,1,0
47,"Штанга изоля телеск для УН для КШЗ 0,4кВ",13,15,24,2372110,None,0,1,0
48,КШЗ для ВЛ до 10кВ S=25,14,8,12,2278148,None,0,1,0
49,КШЗ для ВЛ до 10кВ S=35,14,8,12,2278104,None,0,1,0
50,УН (рабочая часть) для КШЗ 6-10кВ,14,5,12,2372292,None,0,1,0
51,Штанга изоля телеск для УН для КШЗ 6-10кВ,14,15,24,2372135,None,0,1,0
52,Лестница-стремянка изол мет оконц 3м,15,5,None,2287376,None,0,0,0
53,Лестница-стремянка изол мет оконц 4м,15,5,None,2287380,None,0,0,0
54,"Стремянка стеклопл с мет оконц 1,5м",15,5,None,2278329,None,0,0,0
55,"Стремянка стеклопл с мет оконц 1,75м",15,5,None,2278280,None,0,0,0
56,"Стремянка стеклопл с эласт оконц 1,75м",15,5,None,2278282,None,0,0,0
57,Линия верт гиб анкер захват полз тип 10м,110,5,None,2361215,None,0,0,0
58,Линия верт гиб анкер захват полз тип 20м,110,5,None,2350408,None,0,0,0
59,Линия верт гиб анкер захват полз тип 30м,110,5,None,2350521,None,0,0,0
60,Линия верт гиб анкер захват полз тип 40м,110,5,None,2361271,None,0,0,0
61,Петля крепежная из ленты полиамидной 1м,111,None,None,2358984,None,0,0,0
62,Маска защитная сварщика с автомат затемн,18,None,None,2278108,None,0,0,0
63,Маска защитная сварщика,18,None,None,2287377,None,0,0,0
64,Маска сварщика с каской,18,None,None,2278832,None,0,0,0
65,Маска защитная сварщика с автомат затемн,18,None,None,2278108,None,0,0,0
66,Наушники противошумные,22,None,None,2277479,None,0,0,1
67,Лента оградител. красно-белая шир. 75мм,23,None,None,2219353,None,0,0,1
68,Лента оградительная 200м,23,None,None,2120796,None,0,0,1
69,Лента оградительная 250м,23,None,None,2051149,None,0,0,1
70,Отпугиватель собак Dazer,24,None,None,2072771,None,0,0,0
71,Отпугиватель собак электронный Кобра,24,None,None,2255833,None,0,0,0
72,Отпугиватель собак ультразвуковой LS-977,24,None,None,2270626,None,0,0,0
73,Отпугиватель собак ОСА,24,None,None,2277533,None,0,0,0
74,Очки защитные,25,None,None,2278831,None,0,0,0
75,Очки для газосварщика,25,None,None,2287373,None,0,0,0
76,Щиток защитный с креплением на каску,25,None,None,2278352,None,0,0,0
77,Щиток защитный с наголовным креплением,25,None,None,2287382,None,0,0,0
78,"ПЗ для ВЛ-0,4кВ S=16",27,8,None,2278221,None,0,0,0
79,"ПЗ для ВЛ-0,4кВ S=25",27,8,None,2278310,None,0,0,0
80,"ПЗ для ВЛ-0,4кВ S=35",27,8,None,2278307,None,0,0,0
81,ПЗ 1Ф ВЛ 110кВ L=3 S=35,28,8,None,2278157,None,0,0,0
82,ПЗ 1Ф ВЛ 110кВ L=3 S=50,28,8,None,2278116,None,0,0,0
83,ПЗ 1Ф ВЛ 110кВ шарнир звеньями L=3 S=35,28,8,None,2278167,None,0,0,0
84,ПЗ 3Ф ВЛ 110кВ L=12 S=50,28,8,None,2278231,None,0,0,0
85,ПЗ 3Ф ВЛ 110кВ L=20 S=25,28,8,None,2278289,None,0,0,0
86,ПЗ 3Ф ВЛ 110кВ L=24 S=25,28,8,None,2278292,None,0,0,0
87,ПЗ 3Ф ВЛ 110кВ L=3 S=25,28,8,None,2278293,None,0,0,0
88,ПЗ 3Ф ВЛ 110кВ шарнир звенья L=20 S=25,28,8,None,2278295,None,0,0,0
89,ПЗ 3Ф ВЛ 110кВ шарнир звенья L=20 S=50,28,8,None,2278297,None,0,0,0
90,ПЗ 3ф ВЛ 110кВ шарнир звенья L=24 S=25,28,8,None,2277675,None,0,0,0
91,ПЗ 1Ф ВЛ 35кВ L=12 S=35,29,8,None,2278159,None,0,0,0
92,ПЗ 1Ф ВЛ 35кВ L=24 S=70,29,8,None,2278165,None,0,0,0
93,ПЗ 1ф ВЛ 35кВ L=8 S=25,29,8,None,2277662,None,0,0,0
94,ПЗ 3ф ВЛ 35кВ L=12 S=25,29,8,None,2277659,None,0,0,0
95,ПЗ 3Ф ВЛ 35кВ L=15 S=35,29,8,None,2278244,None,0,0,0
96,ПЗ 3Ф ВЛ 35кВ L=24 S=35,29,8,None,2278200,None,0,0,0
97,ПЗ 3Ф ВЛ 35кВ L=8 S=25,29,8,None,2278247,None,0,0,0
98,ПЗ 3ф ВЛ 35кВ шарнир звенья L=18 S=25,29,8,None,2277672,None,0,0,0
99,ПЗ 3Ф ВЛ 35кВ шарнир звенья L=24 S=25,29,8,None,2278196,None,0,0,0
100,ПЗ 3Ф ВЛ 6-10кВ винт. струбц. L=10 S=25,30,8,None,2278212,None,0,0,0
101,ПЗ 3Ф ВЛ 6-10кВ винт. струбц. L=10 S=35,30,8,None,2278302,None,0,0,0
