IdMaterialGr,NameMaterialGr,IdEdIzm
1,Боты диэлектрические,1
2,Газоанализатор,1
3,Заземление для пожарных стволов,1
4,"Защитные ограждения (щиты, ширмы) (при наличии панелей РЗА)",1
5,Изолирующие накладки,1
6,Инструмент ручной изолированный,1
7,Канат страховочный с карабинами,1
8,"Клещи изолирующие 0,4 кВ",1
9,"Клещи электроизмерительные 0,4 кВ",1
10,Ковер диэлектрический,1
11,Кожаные перчатки (при стекольных работах),1
12,Колпачки изолирующие,1
13,"Комплект заземлений 0,4 кВ для установки с земли (КШЗ)",1
14,Комплект заземлений 6-10 кВ для установки с земли (КШЗ),1
15,Лестница-стремянка стеклопластиковая для работы с твердого покрытия ,1
17,Лямочный предохранительный пояс,1
18,Маска сварщика,1
19,"Медный провод для заземления ПВЛ, сечением не менее 10 мм. кв.",1
20,"Медный провод переносного заземление для снятия остаточного заряда и заземления испытуемого оборудования, сечением не менее 4 мм. кв.",1
21,Наколенники,1
22,Наушники противошумные,1
23,Оградительная лента,1
24,Отпугиватели для собак,1
25,Очки защитные/щиток защитный,1
26,Переносное заземление (для заземления ГПМ при работах в охранной зоне ВЛ),1
27,"Переносное заземление для ВЛ 0,4 кВ",1
28,Переносное заземление для ВЛ 110 кВ,1
29,Переносное заземление для ВЛ 35 кВ,1
30,Переносное заземление для ВЛ 6-10 кВ,1
31,Переносное заземление для пожарных машин,1
32,"Переносное заземление для РУ 0,4 кВ",1
33,Переносное заземление для РУ 110 кВ,1
34,Переносное заземление для РУ 35 кВ,1
35,Переносное заземление для РУ 6-10 кВ,1
36,Переносное заземление для СИП,1
37,Переносное заземление сечением более или равным 4 мм2 с изолированной рукояткой,1
38,Перчатки антивибрационные,1
39,Перчатки диэлектрические,1
40,Перчатки резиновые,1
41,"Перчатки спилковые (для работы с листовым, оцинкованным железом)",1
42,Плакат или знак безопасности (переносной): ВЛЕЗАТЬ ЗДЕСЬ,1
43,Плакат или знак безопасности (переносной): ВНИМАНИЕ ШУНТ ,1
44,Плакат или знак безопасности (переносной): ДЕБЛОКИРОВАНО,1
45,Плакат или знак безопасности (переносной): ЗАЗЕМЛЕНО,1
46,Плакат или знак безопасности (переносной): ИСПЫТАНИЕ! ОПАСНО ДЛЯ ЖИЗНИ ,1
47,Плакат или знак безопасности (переносной): НЕ ВКЛЮЧАТЬ! РАБОТА НА ЛИНИИ ,1
48,Плакат или знак безопасности (переносной): НЕ ВКЛЮЧАТЬ! РАБОТАЮТ ЛЮДИ,1
49,Плакат или знак безопасности (переносной): НЕ ВЛЕЗАЙ! УБЬЕТ ,1
50,Плакат или знак безопасности (переносной): РАБОТАТЬ ЗДЕСЬ ,1
51,Плакат или знак безопасности (переносной): СТОЙ! НАПРЯЖЕНИЕ ,1
52,Плащ прорезиненный (для работы в колодцах),1
53,Привязь страховочная,1
54,Приспособление для наложения заземления методом наброса,1
55,Противогаз шланговый (при наличии ЗРУ),1
56,Респиратор,1
57,Респиратор «Лепесток» ,1
58,Респиратор противопылевой,1
59,Респиратор со сменными патронами,1
60,Сигнализатор напряжения индивидуальный,1
61,"Сигнальные красные флажки (повязки) для обозначения опор, оставшихся по напряжением",1
62,Строп для позиционирования регулируемый,1
63,Строп страховочный двухплечевой с амортизатором,1
64,Строп страховочный с амортизатором,1
66,"Указатель напряжения 0,4 кВ",1
67,Указатель напряжения 110 кВ,1
68,Указатель напряжения 35 кВ,1
69,Указатель напряжения 6-10 кВ,1
70,Указатель напряжения двухполюсный до 1000 В с функцией однополюсного указателя напряжения,1
71,Указатель напряжения для проверки совпадения фаз,1
72,УПН,1
73,Устройство проверки указателей напряжения,1
74,Фартук прорезиненный с нагрудником,1
75,"Штанга изолирующая 0,4 кВ",1
76,Штанга изолирующая 110 кВ,1
77,Штанга изолирующая 35 кВ,1
78,Штанга изолирующая 6-10 кВ,1
79,Штырь с заземляющим медным проводником сечением более или равным 10 мм2 и длинной 10 м.,1
82,Заземлитель инвентарный,1
83,Штанга телескопическая с инсталляционным крюком,1
84,Блокирующее устройство втягивающего типа (15м),1
85,Блокирующее устройство втягивающего типа (6м),1
86,Вкладыши противошумные,1
87,Средство индивидуальной защиты органов дыхания (СИЗОД) противогазовое,1
88,"Указатель напряжения 0,4 кВ однополюсный",1
89,Переносное заземление до 10 кВ для ВЛЗ,1
90,Комплект для измерения наведенного напряжения 110 кВ,1
91,Комплект для измерения наведенного напряжения 10 кВ,1
92,Отвертка диэлектрическая,1
94,Пассатижи диэлектрические,1
96,Бокорезы диэлектрические,1
98, Дополнительные СЗ,1
100,Плакат или знак безопасности (переносной): ОПАСНАЯ ЗОНА,1
101,Плакат или знак безопасности (переносной): ПРОХОД ЗАПРЕЩЕН,1
102,Рукавицы Х/Б (для работы с битумными мастиками),1
104,Лестница стеклопластиковая для работы с твердого покрытия,1
105,Нож монтерский диэлектрический,1
107,Двухплечевое устройство втягивающего типа,1
108,Горизонтальная гибкая анкерная линия,1
109,Круглогубцы диэлектрические,1
110,Вертикальная гибкая анкерная линия,1
111,Анкерная петля,1
