Id_zavod,Name_zavod,Prizn_zav
1,3M UK PLC,0
2,APPA Technology corporation,0
3,Protekt,0
4,Safe-tec,0
5,АЗРИ,0
7,Бриз Кама,0
8,ГАСЗНАК,0
9,Группа компаний РИМ,0
10,Завод РТИ,0
11,Завод Электропласт,0
12,ЗУБР,0
13,ИП Зуйкова Л.В.,0
14,Н/Д,0
15,НИС-21,0
16,ПроВиТекс,0
17,СОМЗ,0
18,Стиль-Мастер,0
19,Суксунский оптико-механический завод,0
20,Сферотек,0
21,ТавридаСнаб,0
22,Тамбовмаш,0
23,Техношанс,0
24,Электроприбор,0
25,Эллевин,0
26,Энергосигнал,0
27,ЭТО,0
28,ЯЭМЗ,0
29,"ТГ ""Экипаж""",0
30,KRAFTOOL,0
31,Литер,0
32,JSP,0
33,Sturm,0
34,Stayer,0
35,Sitomo,0
36,Мерион Спецодежда,0
37,Арсенал,0
38,Мосэнерго,0
39,Металлист,0
40,Завод резинотехнических изделий,0
41,ВЕНТО-2М (VENTO),0
42,Электроком,0
43,НПК Пожхимзащита,0
44,Восток-сервис,0
45,Луч,0
46,Экитеста,0
47,Elprib,0
48,РЭТО,0
49,КВТ,0
50,ЭНТРЭК,0
51,Сибртех,0
52,Klauke,0
53,FIT,0
54,MATRIX professional,0
55,Knipex,0
56,НПП БИОС,0
57,Fameka,0
58,Радиант,0
59,CLAMP METER,0
60,Диэлектрик,0
61,Актаком АТК 2200,0
62,Inforce,0
63,ProSkit,0
64,Квазар,0
65,Электро Трейд,0
